12-11-2020 11:37:24.496 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_DISCONNECT_TO_SENSOR_125f97b784dc3780a] subscribe topic [RES_DISCONNECT_TO_SENSOR_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.513 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_SPO2_125f97b784dc3780a] subscribe topic [RES_TRANSMIT_DATA_SPO2_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.515 INFO  c.e.v.mqtt.MqttSubscriberInitApp.messageArrived - [messageArrived topic]: RES_CONNECT_TO_SENSOR_25f97b784dc3780a
12-11-2020 11:37:24.516 INFO  c.e.v.mqtt.MqttSubscriberInitApp.messageArrived - Message received:
	{"gate_id": "ELCGW-001-00000000649af264","display_id": "25f97b784dc3780a","sensor_id": "bcbf91bd-c648-46fd-8bac-a0ee0b71d33c", "result_code":0}
12-11-2020 11:37:24.516 INFO  c.e.v.process.MqttConsumerInitApp.run - Consummer - [RES_CONNECT_TO_SENSOR] : {"gate_id": "ELCGW-001-00000000649af264","display_id": "25f97b784dc3780a","sensor_id": "bcbf91bd-c648-46fd-8bac-a0ee0b71d33c", "result_code":0}
12-11-2020 11:37:24.543 INFO  c.e.v.mqtt.MqttSubscriberInitApp.messageArrived - [messageArrived topic]: RES_DISCONNECT_TO_SENSOR_25f97b784dc3780a
12-11-2020 11:37:24.543 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_TEMP_125f97b784dc3780a] subscribe topic [RES_TRANSMIT_DATA_TEMP_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.543 INFO  c.e.v.mqtt.MqttSubscriberInitApp.messageArrived - Message received:
	{"gate_id": "ELCGW-001-00000000649af264","display_id": "25f97b784dc3780a","sensor_id": "bcbf91bd-c648-46fd-8bac-a0ee0b71d33c", "result_code":0}
12-11-2020 11:37:24.563 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByDisplay - [RES_TRANSMIT_DATA_NIBP_125f97b784dc3780a] subscribe topic [RES_TRANSMIT_DATA_NIBP_25f97b784dc3780a] SUCCESS!
12-11-2020 11:37:24.563 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [subscribersByGate topic ]
12-11-2020 11:37:24.585 INFO  c.e.v.process.MqttConsumerInitApp.run - Consummer - [RES_DISCONNECT_TO_SENSOR] : {"gate_id": "ELCGW-001-00000000649af264","display_id": "25f97b784dc3780a","sensor_id": "bcbf91bd-c648-46fd-8bac-a0ee0b71d33c", "result_code":0}
12-11-2020 11:37:24.603 INFO  c.e.v.mqtt.MqttSubscriberInitApp.subscribersByGate - [GATE_REQ_DISPLAY_SENSOR_1ELCGW-001-00000000649af264] subscribe topic [GATE_REQ_DISPLAY_SENSOR_ELCGW-001-00000000649af264] SUCCESS!
